ParamNum,State,Frequency,MultiStableState,Stability Type,RepNum,Motif
9073.0,'10',1.0,'10',1,1,TS
9074.0,'01',1.0,'01',1,1,TS
9075.0,'01',1.0,'01',1,1,TS
9076.0,'01',0.208,'01 10',2,1,TS
9076.0,'10',0.792,'01 10',2,1,TS
9077.0,'10',1.0,'10',1,1,TS
9078.0,'10',1.0,'10',1,1,TS
9079.0,'01',1.0,'01',1,1,TS
9080.0,'01',0.715,'01 10',2,1,TS
9080.0,'10',0.285,'01 10',2,1,TS
9081.0,'01',0.817,'01 10',2,1,TS
9081.0,'10',0.183,'01 10',2,1,TS
9082.0,'01',1.0,'01',1,1,TS
9083.0,'01',1.0,'01',1,1,TS
9084.0,'01',0.96,'01 10',2,1,TS
9084.0,'10',0.04,'01 10',2,1,TS
9085.0,'11',1.0,'11',1,1,TS
9086.0,'10',1.0,'10',1,1,TS
9087.0,'10',1.0,'10',1,1,TS
9088.0,'01',1.0,'01',1,1,TS
9089.0,'01',0.954,'01 10',2,1,TS
9089.0,'10',0.046,'01 10',2,1,TS
9090.0,'01',0.279,'01 10',2,1,TS
9090.0,'10',0.721,'01 10',2,1,TS
9091.0,'01',0.531,'01 10',2,1,TS
9091.0,'10',0.469,'01 10',2,1,TS
9092.0,'10',1.0,'10',1,1,TS
9093.0,'01',0.685,'01 10',2,1,TS
9093.0,'10',0.315,'01 10',2,1,TS
9094.0,'01',1.0,'01',1,1,TS
9095.0,'01',0.992,'01 10',2,1,TS
9095.0,'10',0.008,'01 10',2,1,TS
9096.0,'01',0.723,'01 10',2,1,TS
9096.0,'10',0.277,'01 10',2,1,TS
9097.0,'01',0.015,'01 10',2,1,TS
9097.0,'10',0.985,'01 10',2,1,TS
9098.0,'10',1.0,'10',1,1,TS
9099.0,'10',1.0,'10',1,1,TS
9100.0,'01',1.0,'01',1,1,TS
9101.0,'10',1.0,'10',1,1,TS
9102.0,'10',1.0,'10',1,1,TS
9103.0,'01',0.924,'01 10',2,1,TS
9103.0,'10',0.076,'01 10',2,1,TS
9104.0,'01',1.0,'01',1,1,TS
9105.0,'10',1.0,'10',1,1,TS
9106.0,'10',1.0,'10',1,1,TS
9107.0,'01',1.0,'01',1,1,TS
9108.0,'01',0.966,'01 10',2,1,TS
9108.0,'10',0.034,'01 10',2,1,TS
9109.0,'01',0.523,'01 10',2,1,TS
9109.0,'10',0.477,'01 10',2,1,TS
9110.0,'01',1.0,'01',1,1,TS
9111.0,'01',1.0,'01',1,1,TS
9112.0,'10',1.0,'10',1,1,TS
9113.0,'01',0.831,'01 10',2,1,TS
9113.0,'10',0.169,'01 10',2,1,TS
9114.0,'01',0.543,'01 10',2,1,TS
9114.0,'10',0.457,'01 10',2,1,TS
9115.0,'01',1.0,'01',1,1,TS
9116.0,'01',0.601,'01 10',2,1,TS
9116.0,'10',0.399,'01 10',2,1,TS
9117.0,'01',0.181,'01 10',2,1,TS
9117.0,'10',0.819,'01 10',2,1,TS
9118.0,'10',1.0,'10',1,1,TS
9119.0,'10',1.0,'10',1,1,TS
9120.0,'10',1.0,'10',1,1,TS
9121.0,'01',0.066,'01 10',2,1,TS
9121.0,'10',0.934,'01 10',2,1,TS
9122.0,'10',1.0,'10',1,1,TS
9123.0,'01',1.0,'01',1,1,TS
9124.0,'10',1.0,'10',1,1,TS
9125.0,'01',1.0,'01',1,1,TS
9126.0,'10',1.0,'10',1,1,TS
9127.0,'10',1.0,'10',1,1,TS
9128.0,'01',1.0,'01',1,1,TS
9129.0,'01',1.0,'01',1,1,TS
9130.0,'01',0.226,'01 10',2,1,TS
9130.0,'10',0.774,'01 10',2,1,TS
9131.0,'01',1.0,'01',1,1,TS
9132.0,'10',1.0,'10',1,1,TS
9133.0,'01',1.0,'01',1,1,TS
9134.0,'00',0.849,'00 01',2,1,TS
9134.0,'01',0.151,'00 01',2,1,TS
9135.0,'10',1.0,'10',1,1,TS
9136.0,'01',1.0,'01',1,1,TS
9137.0,'01',1.0,'01',1,1,TS
9138.0,'01',1.0,'01',1,1,TS
9139.0,'01',0.918,'01 10',2,1,TS
9139.0,'10',0.082,'01 10',2,1,TS
9140.0,'01',0.075,'01 10',2,1,TS
9140.0,'10',0.925,'01 10',2,1,TS
9141.0,'01',0.572,'01 10',2,1,TS
9141.0,'10',0.428,'01 10',2,1,TS
9142.0,'10',1.0,'10',1,1,TS
9143.0,'10',1.0,'10',1,1,TS
9144.0,'01',0.528,'01 10',2,1,TS
9144.0,'10',0.472,'01 10',2,1,TS
9145.0,'01',0.191,'01 10',2,1,TS
9145.0,'10',0.809,'01 10',2,1,TS
9146.0,'10',1.0,'10',1,1,TS
9147.0,'10',1.0,'10',1,1,TS
9148.0,'01',0.606,'01 10',2,1,TS
9148.0,'10',0.394,'01 10',2,1,TS
9149.0,'01',1.0,'01',1,1,TS
9150.0,'01',1.0,'01',1,1,TS
9151.0,'01',1.0,'01',1,1,TS
