ParamNum,State,Frequency,MultiStableState,Stability Type,RepNum,Motif
3798.0,'01',1.0,'01',1,1,TSSA
3799.0,'01',0.982,'01 10',2,1,TSSA
3799.0,'10',0.018,'01 10',2,1,TSSA
3800.0,'10',1.0,'10',1,1,TSSA
3801.0,'01',0.758,'01 10',2,1,TSSA
3801.0,'10',0.242,'01 10',2,1,TSSA
3802.0,'00',0.286,'00 01',2,1,TSSA
3802.0,'01',0.714,'00 01',2,1,TSSA
3803.0,'00',0.07,'00 01 10',3,1,TSSA
3803.0,'01',0.864,'00 01 10',3,1,TSSA
3803.0,'10',0.066,'00 01 10',3,1,TSSA
3804.0,'01',1.0,'01',1,1,TSSA
3805.0,'01',0.048,'01 10',2,1,TSSA
3805.0,'10',0.952,'01 10',2,1,TSSA
3806.0,'00',0.122,'00 01',2,1,TSSA
3806.0,'01',0.878,'00 01',2,1,TSSA
3807.0,'01',0.08,'01 10',2,1,TSSA
3807.0,'10',0.92,'01 10',2,1,TSSA
3808.0,'00',0.934,'00 01',2,1,TSSA
3808.0,'01',0.066,'00 01',2,1,TSSA
3809.0,'01',0.622,'01 10',2,1,TSSA
3809.0,'10',0.378,'01 10',2,1,TSSA
3810.0,'01',1.0,'01',1,1,TSSA
3811.0,'00',0.026026026026026026,'00 01 10',3,1,TSSA
3811.0,'01',0.25125125125125125,'00 01 10',3,1,TSSA
3811.0,'10',0.7227227227227228,'00 01 10',3,1,TSSA
3812.0,'00',0.067,'00 10',2,1,TSSA
3812.0,'10',0.933,'00 10',2,1,TSSA
3813.0,'00',0.128,'00 10',2,1,TSSA
3813.0,'10',0.872,'00 10',2,1,TSSA
3814.0,'01',0.22,'01 10',2,1,TSSA
3814.0,'10',0.78,'01 10',2,1,TSSA
3815.0,'00',0.017,'00 01 10',3,1,TSSA
3815.0,'01',0.707,'00 01 10',3,1,TSSA
3815.0,'10',0.276,'00 01 10',3,1,TSSA
3816.0,'01',0.31,'01 10',2,1,TSSA
3816.0,'10',0.69,'01 10',2,1,TSSA
3817.0,'01',1.0,'01',1,1,TSSA
3818.0,'01',1.0,'01',1,1,TSSA
3819.0,'00',0.467,'00 10',2,1,TSSA
3819.0,'10',0.533,'00 10',2,1,TSSA
3820.0,'01',0.146,'01 10',2,1,TSSA
3820.0,'10',0.854,'01 10',2,1,TSSA
3821.0,'00',0.89,'00 01',2,1,TSSA
3821.0,'01',0.11,'00 01',2,1,TSSA
3822.0,'01',0.53,'01 10',2,1,TSSA
3822.0,'10',0.47,'01 10',2,1,TSSA
3823.0,'01',0.082,'01 10',2,1,TSSA
3823.0,'10',0.918,'01 10',2,1,TSSA
3824.0,'01',0.241,'01 10',2,1,TSSA
3824.0,'10',0.759,'01 10',2,1,TSSA
3825.0,'00',0.283,'00 01 10',3,1,TSSA
3825.0,'01',0.661,'00 01 10',3,1,TSSA
3825.0,'10',0.056,'00 01 10',3,1,TSSA
3826.0,'01',0.359,'01 10',2,1,TSSA
3826.0,'10',0.641,'01 10',2,1,TSSA
3827.0,'01',0.19,'01 10',2,1,TSSA
3827.0,'10',0.81,'01 10',2,1,TSSA
3828.0,'01',0.146,'01 10',2,1,TSSA
3828.0,'10',0.854,'01 10',2,1,TSSA
3829.0,'01',0.407,'01 10',2,1,TSSA
3829.0,'10',0.593,'01 10',2,1,TSSA
3830.0,'00',0.291,'00 10',2,1,TSSA
3830.0,'10',0.709,'00 10',2,1,TSSA
3831.0,'01',0.701,'01 10',2,1,TSSA
3831.0,'10',0.299,'01 10',2,1,TSSA
3832.0,'01',0.959,'01 10',2,1,TSSA
3832.0,'10',0.041,'01 10',2,1,TSSA
3833.0,'01',0.232,'01 10',2,1,TSSA
3833.0,'10',0.768,'01 10',2,1,TSSA
3834.0,'01',0.591,'01 10',2,1,TSSA
3834.0,'10',0.409,'01 10',2,1,TSSA
3835.0,'00',0.04,'00 01',2,1,TSSA
3835.0,'01',0.96,'00 01',2,1,TSSA
3836.0,'01',0.133,'01 10',2,1,TSSA
3836.0,'10',0.867,'01 10',2,1,TSSA
3837.0,'10',1.0,'10',1,1,TSSA
3838.0,'01',0.232,'01 10',2,1,TSSA
3838.0,'10',0.768,'01 10',2,1,TSSA
3839.0,'01',0.867,'01 10',2,1,TSSA
3839.0,'10',0.133,'01 10',2,1,TSSA
3840.0,'01',0.156,'01 10',2,1,TSSA
3840.0,'10',0.844,'01 10',2,1,TSSA
3841.0,'01',0.979,'01 10',2,1,TSSA
3841.0,'10',0.021,'01 10',2,1,TSSA
3842.0,'00',0.882,'00 01 10',3,1,TSSA
3842.0,'01',0.115,'00 01 10',3,1,TSSA
3842.0,'10',0.003,'00 01 10',3,1,TSSA
3843.0,'01',1.0,'01',1,1,TSSA
3844.0,'01',0.099,'01 10',2,1,TSSA
3844.0,'10',0.901,'01 10',2,1,TSSA
3845.0,'01',0.956,'01 10',2,1,TSSA
3845.0,'10',0.044,'01 10',2,1,TSSA
3846.0,'01',0.046,'01 10',2,1,TSSA
3846.0,'10',0.954,'01 10',2,1,TSSA
3847.0,'01',1.0,'01',1,1,TSSA
3848.0,'01',0.723,'01 10',2,1,TSSA
3848.0,'10',0.277,'01 10',2,1,TSSA
