State,Fraction,RepNum,Motif
000000101010110,0.0024315352358242107,2,EMT22N
000000101010010,0.002368245905588652,2,EMT22N
000000101100100,0.002311081349246857,2,EMT22N
000000111010110,0.002294748618863487,2,EMT22N
000000101000100,0.0020558824370067006,2,EMT22N
100000111100000,0.0019731979894408898,2,EMT22N
000000001000000,0.001808849889958229,2,EMT22N
010000100010000,0.001634293833985962,2,EMT22N
000000111000100,0.00150056960397212,2,EMT22N
100000111100100,0.0011800397701984835,2,EMT22N
000000100000000,0.0010871473661430665,2,EMT22N
000000110110100,0.0010524403140784052,2,EMT22N
010000100000000,0.0009697558665125946,2,EMT22N
100000101000000,0.0008258236800091464,2,EMT22N
000000110010000,0.0007033282021338712,2,EMT22N
100000111110000,0.0006941410412932256,2,EMT22N
000000110110010,0.0006880162673994618,2,EMT22N
000000111100111,0.0006737251283140131,2,EMT22N
000000111111100,0.0006614755805264855,2,EMT22N
000000100100000,0.0006461636457920762,2,EMT22N
000000110100000,0.0006206437545680605,2,EMT22N
100000100000000,0.0005992070459398873,2,EMT22N
111000100000000,0.0005287721461616042,2,EMT22N
000000101010101,0.000523668167916801,2,EMT22N
000000101010111,0.0005052938462355098,2,EMT22N
000000111100101,0.00047875315936253353,2,EMT22N
000000101000010,0.00044608769859579353,2,EMT22N
100000100100000,0.0004083182595842503,2,EMT22N
100000001000000,0.0003950479161477622,2,EMT22N
100110011000000,0.0003868815509560772,2,EMT22N
000000101110101,0.00038586075530711657,2,EMT22N
000000011100000,0.0003807567770623135,2,EMT22N
100000111110100,0.0003501329075934947,2,EMT22N
000000111010101,0.0003501329075934947,2,EMT22N
100000101100000,0.0003419665424018097,2,EMT22N
101000100000000,0.00033992495110388843,2,EMT22N
100110000000000,0.00033788335980596717,2,EMT22N
100000111000000,0.0003041971033902665,2,EMT22N
000000111111110,0.00028990596430481777,2,EMT22N
000000110010100,0.00028173959911313273,2,EMT22N
000000111100011,0.00027867721216625084,2,EMT22N
000000000000000,0.00024703254704847147,2,EMT22N
100111000000000,0.0002296790210161408,2,EMT22N
000000111000010,0.00022457504277133768,2,EMT22N
000000110110110,0.00021130469933484955,2,EMT22N
100110011100000,0.00020415912979212516,2,EMT22N
000000110110001,0.0001970135602494008,2,EMT22N
000000101110011,0.00019395117330251892,2,EMT22N
000000111111000,0.00019395117330251892,2,EMT22N
000000111100001,0.00018782639940875516,2,EMT22N
100000110100000,0.00018272242116395204,2,EMT22N
100000111000100,0.0001817016255149914,2,EMT22N
000000101110111,0.00017966003421707015,2,EMT22N
000000101010001,0.0001735352603233064,2,EMT22N
111000100010000,0.00017251446467434576,2,EMT22N
010000101010000,0.000166389690780582,2,EMT22N
000000100010100,0.00015924412123785763,2,EMT22N
101110000000000,0.0001378074126096845,2,EMT22N
100000110000000,0.00013678661696072387,2,EMT22N
000000011000000,0.00013576582131176324,2,EMT22N
000000101100010,0.0001296410474179995,2,EMT22N
101000110100000,0.0001296410474179995,2,EMT22N
100110010100000,0.0001265786604711176,2,EMT22N
010000000000000,0.000125557864822157,2,EMT22N
101111000000000,0.0001184122952794326,2,EMT22N
000010111100000,0.0001184122952794326,2,EMT22N
000000011100100,0.00011330831703462947,2,EMT22N
100000011000000,0.00010514195184294446,2,EMT22N
100110000100000,0.00010310036054502321,2,EMT22N
000000101100110,0.00010207956489606258,2,EMT22N
100000101110000,0.00010207956489606258,2,EMT22N
000000111000111,0.00010207956489606258,2,EMT22N
100000111010110,0.00010105876924710196,2,EMT22N
000000101100111,0.00010105876924710196,2,EMT22N
000000110100100,0.00010003797359814133,2,EMT22N
010000100110000,0.00010003797359814133,2,EMT22N
000000110100110,0.00010003797359814133,2,EMT22N
000100011000000,9.697558665125946e-05,2,EMT22N
000000111010111,9.697558665125946e-05,2,EMT22N
000000110010101,9.595479100229883e-05,2,EMT22N
000000101110001,9.595479100229883e-05,2,EMT22N
000000101000101,9.493399535333821e-05,2,EMT22N
100000101110100,9.493399535333821e-05,2,EMT22N
000000100110010,9.289240405541695e-05,2,EMT22N
000100111100000,9.289240405541695e-05,2,EMT22N
010000100100000,8.983001710853507e-05,2,EMT22N
101000110000000,8.983001710853507e-05,2,EMT22N
100000101000100,8.880922145957446e-05,2,EMT22N
000000110000000,8.880922145957446e-05,2,EMT22N
100000101100100,8.880922145957446e-05,2,EMT22N
100110001100000,8.67676301616532e-05,2,EMT22N
